"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Burrog Barrage","G","C","119385","5.48","18431","7.45","82224","71.4%","54.3%","13939","53.1%","21484","57.9%","35423","56.0%","46049","52.8%","3.2pp"
"Sleight of Hand","U","U","49311","5.34","7741","7.45","29959","63.0%","53.6%","5302","53.5%","8897","57.4%","14199","56.0%","15258","51.2%","4.8pp"
"Deathcap Glade","","R","18449","3.70","3441","5.04","16755","77.1%","54.1%","3158","55.3%","4239","56.5%","7397","56.0%","9035","52.5%","3.5pp"
"Thornfist Striker","G","U","45796","4.86","6977","6.55","31122","71.2%","54.5%","5412","55.7%","7762","56.1%","13174","56.0%","17636","53.2%","2.8pp"
"Embrace the Paradox","UG","C","129698","6.24","20291","8.62","74946","59.2%","53.9%","12427","51.3%","21565","58.7%","33992","56.0%","39731","52.0%","4.0pp"
"Owlin Historian","W","C","130314","6.26","19319","8.73","73540","59.5%","56.5%","12793","55.4%","19311","56.3%","32104","55.9%","41454","56.9%","-1.0pp"
"Masterful Flourish","B","C","140566","7.23","15395","10.60","26750","27.4%","55.7%","4402","55.0%","6368","56.4%","10770","55.8%","15835","55.5%","0.3pp"
"Duel Tactics","R","U","56305","6.36","8372","8.88","20614","38.6%","55.5%","3505","54.3%","5343","56.7%","8848","55.8%","11639","55.2%","0.6pp"
"Expressive Firedancer","R","C","130560","6.32","21214","8.66","79519","58.7%","55.5%","14200","57.1%","21263","54.8%","35463","55.8%","43378","55.2%","0.6pp"
"Noxious Newt","G","C","102026","4.45","17258","5.98","92578","86.5%","54.1%","16880","55.6%","23935","55.8%","40815","55.7%","50735","52.9%","2.8pp"
"Poisoner's Apprentice","B","U","38681","4.08","7137","5.16","34386","76.5%","54.8%","5936","55.1%","8215","56.0%","14151","55.6%","19759","53.9%","1.7pp"
"Titan's Grave","","C","145490","5.51","23788","7.82","116883","78.9%","54.8%","22084","56.2%","29583","55.2%","51667","55.6%","63747","54.0%","1.7pp"
"Bogwater Lumaret","BG","C","100459","4.72","15625","6.29","76844","78.9%","54.7%","13428","56.2%","18590","55.2%","32018","55.6%","43777","53.9%","1.7pp"
"Bring to Light","UG","R","5320","5.01","749","6.99","1276","27.3%","55.0%","214","","392","","606","55.6%","659","54.2%","1.4pp"
"Resonating Lute","UR","R","11964","2.87","4407","3.01","20007","74.2%","53.1%","3455","53.5%","6085","56.8%","9540","55.6%","9829","50.1%","5.5pp"
"Send in the Pest","B","C","122376","5.65","17571","7.82","71599","64.2%","55.1%","12819","55.9%","17240","55.2%","30059","55.5%","41232","54.8%","0.8pp"
"Quick Study","U","C","131943","6.33","19007","8.97","62876","53.3%","53.4%","10999","53.6%","18538","56.7%","29537","55.5%","32141","51.2%","4.3pp"
"Shared Roots","G","U","39414","4.25","7601","5.44","35344","75.3%","53.6%","6451","56.3%","9411","54.9%","15862","55.5%","19243","52.1%","3.4pp"
"Stargaze","B","U","57349","6.77","7046","9.86","11657","26.5%","55.3%","1962","51.3%","2905","58.3%","4867","55.5%","6731","54.9%","0.6pp"
"Flashback","R","R","19143","4.22","3524","5.68","13137","58.7%","54.0%","2191","50.9%","3847","58.0%","6038","55.4%","6792","52.3%","3.1pp"
"Primary Research","W","U","42285","4.61","8740","5.79","37025","67.3%","55.9%","6137","53.6%","10040","56.6%","16177","55.4%","20750","56.3%","-0.8pp"
"Berta, Wise Extrapolator","UG","R","9144","2.25","3909","2.33","20487","86.1%","53.0%","3494","52.9%","6020","56.9%","9514","55.4%","10572","50.5%","4.9pp"
"Banishing Betrayal","U","C","132320","6.35","19346","9.00","66640","55.5%","53.1%","11813","51.1%","19290","58.1%","31103","55.4%","34037","50.8%","4.6pp"
"Emeritus of Conflict","R","M","4061","2.04","1953","2.10","10719","87.5%","54.8%","1960","54.2%","2993","56.2%","4953","55.4%","5604","54.3%","1.1pp"
"Elemental Mascot","UR","C","125846","6.15","19084","8.53","73963","61.5%","54.0%","12610","54.2%","21621","56.0%","34231","55.4%","38186","52.6%","2.8pp"
"Feed the Swarm","B","U","33275","3.58","6654","4.63","35653","85.6%","54.7%","6313","53.1%","9086","56.5%","15399","55.1%","19946","54.2%","0.9pp"
"Sheoldred's Edict","B","R","3332","3.16","610","4.11","2657","72.0%","53.6%","467","","669","54.4%","1136","55.1%","1507","52.1%","3.0pp"
"Silverquill, the Disputant","WB","M","3423","1.71","1801","1.69","9183","80.5%","54.4%","1533","54.5%","2529","55.3%","4062","55.0%","5057","53.6%","1.4pp"
"Grim Haruspex","B","R","1135","2.48","346","","1735","80.4%","54.6%","303","","412","","715","55.0%","1003","54.2%","0.7pp"
"Prismari, the Inspiration","UR","M","4132","2.11","1754","2.19","9038","83.2%","53.1%","1457","49.1%","2795","58.0%","4252","55.0%","4564","50.9%","4.1pp"
"Infirmary Healer","G","U","46374","4.72","7491","6.45","35597","76.6%","54.0%","6354","52.5%","9144","56.6%","15498","54.9%","19733","53.2%","1.7pp"
"Zealous Lorecaster","R","C","140272","7.01","21515","9.87","58843","43.2%","54.4%","9637","49.2%","17773","58.0%","27410","54.9%","30591","53.5%","1.4pp"
"Seize the Spoils","R","C","135642","6.62","20820","9.36","59571","45.5%","53.9%","10606","52.8%","17350","56.1%","27956","54.9%","30818","52.8%","2.1pp"
"Eternal Student","B","U","44017","4.63","8201","6.05","37962","73.3%","55.3%","6576","53.7%","9101","55.7%","15677","54.9%","22153","55.6%","-0.7pp"
"Campus Composer","U","U","41806","4.40","7794","5.81","36708","76.0%","53.4%","6125","52.0%","10710","56.5%","16835","54.9%","19194","52.0%","2.8pp"
"Rapier Wit","W","C","138156","7.05","17730","10.12","34597","30.6%","55.2%","5828","52.4%","8619","56.5%","14447","54.8%","19985","55.4%","-0.6pp"
"Grave Researcher","B","R","7948","1.94","3316","1.96","18539","89.4%","54.5%","3194","55.3%","4792","54.5%","7986","54.8%","10343","54.0%","0.9pp"
"Old-Growth Educator","BG","U","41930","4.49","6161","6.16","28512","74.0%","53.9%","4716","54.0%","7203","55.4%","11919","54.8%","16301","53.0%","1.8pp"
"Fractal Mascot","UG","C","133939","6.64","17952","9.55","53985","48.6%","52.9%","8844","50.1%","15776","57.4%","24620","54.8%","28476","50.9%","3.8pp"
"Topiary Lecturer","G","U","40142","4.21","6820","5.50","31160","74.6%","52.7%","5644","54.3%","8208","55.1%","13852","54.7%","16938","51.0%","3.7pp"
"Rehearsed Debater","W","C","135510","6.70","18795","9.46","54597","46.0%","55.7%","9575","56.0%","13128","53.8%","22703","54.7%","31824","56.4%","-1.6pp"
"Soaring Stoneglider","W","U","42131","4.48","7719","5.78","37303","76.2%","55.2%","6388","52.3%","9830","56.3%","16218","54.7%","21085","55.5%","-0.8pp"
"Chase Inspiration","U","C","145591","8.02","17747","11.48","18749","17.1%","53.2%","3101","51.2%","5371","56.6%","8472","54.6%","9976","51.7%","2.9pp"
"Lorehold Charm","WR","U","51578","5.74","8195","7.89","25573","49.9%","55.1%","4350","53.0%","6646","55.6%","10996","54.6%","14567","55.4%","-0.9pp"
"Stadium Tidalmage","UR","C","137076","6.94","19608","9.79","53683","44.0%","53.2%","8921","52.8%","16104","55.5%","25025","54.5%","27619","51.9%","2.7pp"
"Abigale, Poet Laureate","WB","U","34790","3.83","6902","4.75","33907","77.8%","55.6%","5928","54.7%","8424","54.5%","14352","54.5%","19393","56.3%","-1.7pp"
"Summoned Dromedary","W","U","44582","4.81","8163","6.40","35750","69.6%","55.3%","6018","53.6%","9165","55.2%","15183","54.5%","20637","55.7%","-1.2pp"
"Hydro-Channeler","U","C","125152","5.86","20259","8.11","89535","71.9%","53.5%","16232","54.1%","25410","54.8%","41642","54.5%","46915","52.6%","2.0pp"
"Burrog Banemaker","B","C","125367","5.81","15438","8.44","59011","60.9%","54.2%","10542","55.3%","14111","53.9%","24653","54.5%","33940","53.9%","0.6pp"
"Adventurous Eater","B","C","122971","5.57","15534","8.01","66766","68.6%","54.6%","11528","53.4%","16310","55.3%","27838","54.5%","38491","54.7%","-0.2pp"
"Rancorous Archaic","","C","144330","7.42","19391","10.59","34936","28.9%","52.4%","5710","49.4%","10618","57.2%","16328","54.5%","18172","50.2%","4.3pp"
"Teacher's Pest","BG","U","36826","3.95","6633","5.05","32779","80.6%","53.8%","5843","54.7%","7718","54.3%","13561","54.5%","18884","53.2%","1.3pp"
"Ral Zarek, Guest Lecturer","B","M","3259","1.57","1570","1.56","7649","79.7%","53.6%","1357","53.1%","1901","55.4%","3258","54.5%","4315","52.6%","1.8pp"
"Goblin Glasswright","R","C","118001","5.40","21133","7.40","94746","72.3%","53.6%","17127","54.5%","25926","54.2%","43053","54.3%","50703","53.0%","1.3pp"
"Tester of the Tangential","U","U","43257","4.61","7636","6.09","33809","72.5%","52.8%","6027","54.3%","9158","54.3%","15185","54.3%","18126","51.5%","2.8pp"
"The Dawning Archaic","","M","3505","1.75","1731","1.70","9159","86.1%","53.3%","1492","47.9%","2925","57.4%","4417","54.2%","4553","51.7%","2.6pp"
"Withering Curse","B","M","5004","2.42","1519","2.54","6073","66.0%","53.1%","1074","50.2%","1547","56.8%","2621","54.1%","3409","52.0%","2.1pp"
"Spell Pierce","U","U","54836","6.42","6481","9.44","12773","32.0%","51.2%","2219","52.1%","3668","55.3%","5887","54.1%","6619","48.4%","5.7pp"
"Witherbloom Charm","BG","U","43022","4.59","6352","6.33","27851","70.9%","53.6%","4710","51.7%","7127","55.6%","11837","54.1%","15912","53.3%","0.7pp"
"Harmonized Trio","U","R","13557","3.20","3525","3.65","14837","68.7%","52.2%","2673","54.2%","4218","53.8%","6891","54.0%","7716","50.4%","3.5pp"
"Geometer's Arthropod","UG","R","18605","4.35","3219","5.58","9654","48.0%","53.0%","1712","54.6%","2592","53.5%","4304","53.9%","5199","52.1%","1.8pp"
"Honorbound Page","W","C","132874","6.45","17003","9.30","46753","43.0%","54.9%","7990","51.5%","11621","55.5%","19611","53.9%","27040","55.6%","-1.7pp"
"Rapturous Moment","UR","U","49994","5.56","8430","7.57","27210","52.8%","52.4%","4585","50.5%","8047","55.7%","12632","53.8%","13648","50.3%","3.5pp"
"Emil, Vastlands Roamer","G","U","39771","4.24","6887","5.60","32549","77.0%","52.8%","5625","52.1%","9155","54.9%","14780","53.8%","17266","51.7%","2.1pp"
"Mind Roots","BG","U","45751","4.90","6915","6.67","25865","60.2%","52.9%","4465","52.8%","6708","54.5%","11173","53.8%","14518","52.0%","1.8pp"
"Mica, Reader of Ruins","R","U","54731","6.04","7619","8.61","15639","33.1%","53.1%","2596","50.6%","4524","55.6%","7120","53.8%","8366","52.3%","1.5pp"
"Aziza, Mage Tower Captain","WR","R","15208","3.55","3975","4.04","17485","70.6%","54.3%","3027","54.9%","4685","53.0%","7712","53.8%","9752","54.7%","-1.0pp"
"Helping Hand","W","U","48158","5.41","6369","7.73","19901","50.0%","54.8%","3327","52.9%","5024","54.1%","8351","53.7%","11504","55.6%","-1.9pp"
"Pterafractyl","UG","C","124662","5.90","17533","8.44","67702","63.0%","52.6%","11624","49.3%","19375","56.2%","30999","53.7%","34530","50.9%","2.7pp"
"Tackle Artist","R","C","133259","6.64","17936","9.61","51562","45.7%","53.0%","8621","51.8%","14690","54.7%","23311","53.6%","27674","52.3%","1.3pp"
"Orysa, Tide Choreographer","U","U","46360","4.94","7446","6.72","27183","59.7%","52.3%","4602","50.3%","7899","55.6%","12501","53.6%","14194","50.8%","2.8pp"
"Pest Mascot","BG","C","108258","5.15","14066","7.20","65110","74.6%","53.6%","11123","53.5%","16154","53.7%","27277","53.6%","37128","53.6%","0.1pp"
"Mage Tower Referee","","C","144615","7.38","18764","10.59","31785","27.1%","53.4%","5816","52.9%","8044","54.1%","13860","53.6%","17789","53.2%","0.4pp"
"Ancestral Anger","R","C","143394","7.84","19701","10.93","21525","17.4%","53.2%","3591","52.8%","5813","54.0%","9404","53.5%","11924","52.7%","0.9pp"
"Fractal Tender","UG","U","42119","4.47","7329","5.97","31172","70.0%","52.0%","5105","51.3%","8908","54.7%","14013","53.5%","16500","50.4%","3.1pp"
"Mindful Biomancer","G","C","131748","6.34","16087","9.16","56271","56.4%","53.2%","10148","52.5%","13832","54.1%","23980","53.4%","31773","52.9%","0.5pp"
"Shopkeeper's Bane","G","C","131311","6.51","14139","9.68","42881","48.8%","53.1%","7556","53.6%","10390","53.3%","17946","53.4%","24491","52.9%","0.5pp"
"Zimone's Experiment","G","U","52577","5.74","7023","8.20","18785","43.8%","51.5%","3215","50.7%","5323","55.1%","8538","53.4%","10050","50.0%","3.4pp"
"Sneering Shadewriter","B","C","135265","6.58","15630","9.68","44451","45.3%","53.7%","7359","50.4%","11143","55.4%","18502","53.4%","25528","53.6%","-0.3pp"
"Steal the Show","R","R","18847","4.33","3190","5.70","11002","55.0%","53.1%","1868","48.3%","3282","56.2%","5150","53.3%","5635","52.6%","0.7pp"
"Force of Will","U","M","1281","2.61","358","","1406","66.2%","50.7%","231","","422","","653","53.3%","705","47.4%","5.9pp"
"Landscape Painter","U","C","130695","6.12","17988","8.76","64872","58.3%","52.4%","11491","50.6%","18639","54.9%","30130","53.2%","33744","51.6%","1.6pp"
"Muse's Encouragement","U","C","140856","7.15","18809","10.15","43018","37.1%","51.7%","7260","49.6%","12631","55.1%","19891","53.1%","22192","50.2%","2.9pp"
"Pull from the Grave","B","C","138571","6.91","16269","10.11","32569","32.0%","53.2%","5312","49.1%","8203","55.6%","13515","53.0%","18865","53.3%","-0.3pp"
"Page, Loose Leaf","","C","146331","7.85","18523","11.17","21336","18.4%","52.9%","3917","52.6%","5862","53.3%","9779","53.0%","11357","52.8%","0.3pp"
"Muse Seeker","U","U","43056","4.58","8418","5.89","37739","73.1%","52.1%","6915","51.3%","10602","54.1%","17517","53.0%","19659","51.4%","1.6pp"
"Dualcaster Mage","R","R","1340","3.16","335","","1611","79.6%","54.6%","277","","450","","727","53.0%","856","56.0%","-3.0pp"
"Tam, Observant Sequencer","UG","U","36967","3.90","6977","5.08","32638","77.6%","51.8%","5473","49.1%","9344","54.9%","14817","52.7%","17179","50.6%","2.1pp"
"Spectacular Skywhale","UR","U","39802","4.32","7582","5.59","34819","75.0%","52.1%","5853","49.9%","10243","54.2%","16096","52.7%","17838","51.3%","1.3pp"
"Deluge Virtuoso","U","C","132026","6.36","16712","9.26","47968","46.4%","51.7%","8461","49.7%","13723","54.4%","22184","52.6%","24861","50.8%","1.8pp"
"Lumaret's Favor","G","U","59769","6.96","6517","10.32","8634","21.5%","52.5%","1453","49.9%","2066","54.5%","3519","52.6%","5099","52.4%","0.2pp"
"Root Manipulation","BG","U","52537","5.93","6083","8.69","14788","39.2%","52.6%","2437","50.8%","3578","53.7%","6015","52.6%","8727","52.3%","0.2pp"
"Locust Spray","B","U","55851","6.31","6293","9.30","12914","32.9%","53.3%","2235","51.5%","3109","53.3%","5344","52.5%","7528","53.8%","-1.3pp"
"Spiritcall Enthusiast","W","U","46841","5.25","7087","7.19","22557","50.3%","54.4%","3963","52.6%","5552","52.5%","9515","52.5%","13018","55.8%","-3.3pp"
"Scathing Shadelock","B","U","44748","4.79","5717","6.69","22813","64.2%","53.4%","3802","51.6%","5646","53.0%","9448","52.5%","13274","53.9%","-1.4pp"
"Procrastinate","U","C","136526","6.87","17271","9.97","41164","38.7%","51.3%","6973","47.8%","11860","55.1%","18833","52.4%","21338","49.8%","2.6pp"
"Giant Growth","G","U","57004","6.63","5941","10.07","9375","25.6%","51.7%","1536","50.4%","2331","53.7%","3867","52.4%","5473","51.1%","1.2pp"
"Return the Favor","R","U","55330","6.60","6465","9.88","8932","21.9%","51.4%","1509","49.5%","2629","54.0%","4138","52.3%","4654","50.1%","2.3pp"
"Archmage Emeritus","U","R","1103","2.69","367","","1931","81.5%","53.5%","333","","570","53.7%","903","52.3%","987","54.5%","-2.2pp"
"Pigment Wrangler","R","U","40662","4.22","7864","5.53","36619","75.8%","52.4%","6083","49.4%","10617","53.9%","16700","52.3%","19452","52.3%","0.0pp"
"Tenured Concocter","G","C","137970","6.99","15308","10.28","38241","40.6%","52.3%","6256","49.1%","9844","54.2%","16100","52.2%","21724","52.2%","0.1pp"
"Follow the Lumarets","G","C","139243","7.17","15833","10.37","31214","32.0%","52.8%","5589","50.6%","7780","53.3%","13369","52.2%","17734","53.3%","-1.1pp"
"Wild Hypothesis","G","C","136341","6.84","14855","10.19","34469","37.6%","51.3%","5900","48.3%","9625","54.5%","15525","52.2%","18142","49.9%","2.3pp"
"Diary of Dreams","","U","53473","5.62","8286","7.76","26688","52.2%","52.3%","4760","49.8%","7645","53.7%","12405","52.2%","13858","52.3%","-0.1pp"
"Textbook Tabulator","U","C","139588","7.22","16598","10.58","27270","26.6%","50.7%","4820","49.0%","7614","54.0%","12434","52.1%","14454","49.5%","2.6pp"
"Shamanic Revelation","G","R","4429","4.31","553","6.19","1435","42.0%","52.1%","258","","328","","586","52.0%","845","52.2%","-0.1pp"
"Archaeomancer","U","C","2350","5.18","447","","1623","59.3%","50.6%","254","","495","","749","51.9%","828","48.6%","3.4pp"
"Leech Collector","B","U","42978","4.60","6041","6.29","25847","69.0%","52.6%","4564","51.1%","6131","52.4%","10695","51.8%","14908","53.2%","-1.3pp"
"Cheerful Osteomancer","B","C","129226","6.11","15435","8.95","48978","51.1%","52.7%","8216","48.7%","12077","53.9%","20293","51.8%","28133","53.1%","-1.3pp"
"Zaffai and the Tempests","UR","R","18882","4.15","3191","5.57","9704","49.0%","50.6%","1537","46.8%","3067","54.3%","4604","51.8%","4910","49.2%","2.6pp"
"Graduation Day","W","U","45483","5.26","5949","7.21","18004","48.0%","53.4%","3151","53.6%","4253","50.4%","7404","51.8%","10557","54.5%","-2.7pp"
"Duty Beyond Death","W","U","53359","6.39","5861","9.60","7770","21.1%","52.6%","1268","49.1%","1878","53.4%","3146","51.7%","4609","53.2%","-1.5pp"
"Strife Scholar","R","C","140520","7.16","17631","10.39","31358","28.5%","51.9%","5500","50.0%","8466","52.6%","13966","51.6%","17185","52.1%","-0.6pp"
"Fractalize","U","U","57387","6.77","7246","9.75","11535","25.6%","50.6%","1926","46.2%","3200","54.8%","5126","51.5%","6190","49.4%","2.1pp"
"Forum Necroscribe","B","U","37247","4.03","6691","5.17","30502","74.1%","52.8%","5055","48.7%","7646","53.3%","12701","51.5%","17484","53.6%","-2.1pp"
"Nita, Forum Conciliator","WB","R","16977","3.90","3100","4.91","10152","53.3%","52.9%","1797","51.1%","2554","51.7%","4351","51.4%","5739","53.8%","-2.4pp"
"Requisition Raid","W","U","51462","6.01","5520","9.12","8824","25.7%","52.2%","1490","51.3%","2142","51.4%","3632","51.3%","5159","52.8%","-1.4pp"
"Abstract Paintmage","UR","U","45348","5.02","7086","6.74","26615","61.0%","51.3%","4584","50.6%","7816","51.8%","12400","51.3%","13797","51.1%","0.2pp"
"Awaken the Woods","G","M","1308","2.77","329","","1475","73.3%","51.9%","254","","428","","682","51.3%","762","51.0%","0.3pp"
"Spellbook Seeker","U","C","134797","6.58","15799","9.72","34817","36.2%","50.4%","5927","47.8%","10286","53.2%","16213","51.2%","18128","49.5%","1.7pp"
"Aberrant Manawurm","G","U","52606","5.80","6241","8.59","16646","43.4%","50.8%","2780","48.9%","4541","52.6%","7321","51.2%","9125","50.5%","0.7pp"
"Encouraging Aviator","U","U","46631","5.07","6749","6.89","23762","58.8%","50.5%","4073","48.5%","6632","52.8%","10705","51.1%","12701","49.9%","1.3pp"
"Arnyn, Deathbloom Botanist","B","U","42132","4.60","5635","6.36","20669","60.2%","51.7%","3561","48.7%","5073","52.7%","8634","51.1%","11848","52.1%","-1.1pp"
"Maelstrom Artisan","R","R","20051","4.55","2840","6.47","7094","40.2%","51.3%","1238","46.9%","1902","53.7%","3140","51.0%","3913","51.4%","-0.4pp"
"Social Snub","WB","U","57229","6.77","6217","10.11","5952","15.4%","51.5%","997","48.5%","1578","52.4%","2575","50.9%","3330","51.8%","-0.9pp"
"Chelonian Tackle","G","U","54415","5.98","6622","8.68","17232","42.2%","51.4%","2881","47.7%","4448","52.7%","7329","50.7%","9772","51.9%","-1.2pp"
"Blazing Firesinger","R","U","49393","5.48","7065","7.63","21328","49.6%","51.4%","3701","50.1%","5895","51.0%","9596","50.7%","11518","52.1%","-1.4pp"
"Hungry Graffalon","G","C","142291","7.52","14331","11.24","16955","19.2%","50.1%","2860","48.2%","4572","52.1%","7432","50.6%","9302","49.7%","0.9pp"
"Glorious Decay","G","C","145263","8.02","14226","11.94","6425","7.3%","49.8%","1137","47.5%","1697","52.5%","2834","50.5%","3567","49.2%","1.3pp"
"Rabid Attack","B","U","55557","6.42","6286","9.40","11031","28.1%","52.3%","1801","48.1%","2702","52.0%","4503","50.5%","6488","53.6%","-3.1pp"
"Ennis, Debate Moderator","W","U","45051","4.99","6599","6.78","23171","56.0%","53.4%","4182","48.3%","5739","52.0%","9921","50.4%","13195","55.5%","-5.1pp"
"Bulk Up","R","U","56613","6.85","5967","10.35","5974","16.1%","49.8%","936","47.9%","1595","51.9%","2531","50.4%","3400","49.1%","1.3pp"
"Witherbloom, the Balancer","BG","M","3556","1.81","1524","1.85","7028","78.0%","50.5%","1168","47.0%","1925","52.5%","3093","50.4%","3812","50.0%","0.4pp"
"Rearing Embermare","R","C","145922","8.04","17573","11.60","11988","10.9%","51.4%","2034","48.4%","3288","51.6%","5322","50.4%","6622","52.0%","-1.6pp"
"Harsh Annotation","W","U","50902","5.85","4891","9.15","8874","28.7%","50.8%","1521","47.1%","2215","51.8%","3736","49.9%","5091","51.4%","-1.5pp"
"Skycoach Waypoint","","U","61415","7.15","6423","10.74","7702","19.4%","50.9%","1214","50.6%","2003","49.3%","3217","49.8%","4419","51.6%","-1.8pp"
"Daydream","W","U","53593","6.10","6544","8.90","11457","27.7%","51.6%","1910","48.8%","2912","50.3%","4822","49.7%","6606","53.0%","-3.4pp"
"Oracle's Restoration","G","C","142059","7.56","13865","11.33","16372","19.1%","50.5%","2809","48.5%","3923","50.5%","6732","49.7%","9608","50.9%","-1.2pp"
"Ulna Alley Shopkeep","B","C","142986","7.61","14303","11.33","14710","16.5%","50.4%","2584","50.2%","3356","48.7%","5940","49.3%","8688","51.0%","-1.7pp"
"Fractal Anomaly","U","U","59347","7.08","7011","10.33","6045","14.1%","46.7%","991","42.5%","1837","51.2%","2828","48.1%","3117","45.3%","2.8pp"
"Growth Curve","UG","U","57041","6.93","6001","10.49","6234","16.8%","48.2%","1026","46.0%","1721","48.6%","2747","47.6%","3432","48.5%","-0.8pp"
"Efflorescence","G","C","144683","7.91","13813","11.82","7475","8.7%","48.5%","1283","43.6%","1798","49.8%","3081","47.2%","4378","49.2%","-1.9pp"
"Pick Your Poison","G","U","57698","7.03","5453","10.95","2484","7.4%","48.4%","438","","649","47.8%","1087","46.7%","1374","49.9%","-3.1pp"
"Borrowed Knowledge","WR","U","62225","7.76","7203","11.38","1804","4.0%","48.8%","281","","518","46.7%","799","46.7%","1004","50.4%","-3.7pp"
"Zombify","B","U","52832","6.10","5030","9.52","5425","17.7%","48.3%","882","43.7%","1400","48.4%","2282","46.5%","3121","49.6%","-3.0pp"
"Fix What's Broken","WB","R","19765","4.79","2613","6.88","4124","25.2%","50.0%","649","43.3%","1028","47.9%","1677","46.1%","2415","52.5%","-6.4pp"
"Dina's Guidance","BG","R","22745","5.11","2500","8.04","1750","11.3%","47.5%","285","","416","","701","46.1%","1046","48.4%","-2.3pp"
"Comforting Counsel","G","R","17584","4.23","2257","5.95","5732","41.9%","49.0%","969","44.0%","1338","46.0%","2307","45.2%","3413","51.6%","-6.4pp"
"Biblioplex Tomekeeper","","C","149848","8.42","15733","12.21","3037","3.1%","47.5%","441","","809","47.0%","1250","45.0%","1775","49.3%","-4.3pp"
"Choreographed Sparks","R","R","25374","5.57","3006","8.51","2251","12.1%","45.4%","387","","606","46.5%","993","43.3%","1223","46.4%","-3.1pp"
"Pox Plague","B","R","28431","6.32","3187","9.88","137","0.7%","","24","","34","","58","","77","",""
"Petrified Hamlet","","R","29730","6.41","3421","9.80","374","1.7%","","46","","116","","162","","213","",""
"Angel's Grace","W","R","5776","5.68","576","9.22","207","5.6%","","37","","55","","92","","114","",""
"Armageddon","W","M","1779","3.61","359","","1211","52.1%","54.3%","199","","284","","483","","721","54.9%",""
"Return to the Ranks","W","R","5016","5.04","635","7.34","904","22.8%","51.1%","160","","237","","397","","503","52.9%",""
"Flusterstorm","U","M","2485","4.80","308","","427","22.7%","","84","","112","","196","","229","",""
"Pongify","U","R","5379","5.29","528","8.40","696","21.4%","47.3%","130","","210","","340","","334","",""
"Ad Nauseam","B","M","2604","5.04","286","","139","7.6%","","17","","35","","52","","87","",""
"Culling the Weak","B","R","5421","5.60","534","8.92","182","5.6%","","31","","46","","77","","105","",""
"Living End","B","M","2462","4.95","267","","40","2.4%","","6","","15","","21","","19","",""
"Smallpox","B","R","5799","5.79","576","9.22","287","7.9%","","45","","71","","116","","171","",""
"Vampiric Tutor","B","M","1506","3.20","253","","734","48.8%","48.1%","134","","164","","298","","433","",""
"Jeska's Will","R","M","2481","4.89","310","","263","13.7%","","49","","61","","110","","151","",""
"Pyretic Ritual","R","R","5699","5.87","598","9.07","293","7.9%","","49","","70","","119","","168","",""
"Berserk","G","M","2231","4.52","287","","534","30.9%","47.9%","81","","138","","219","","310","",""
"Crop Rotation","G","R","6236","6.20","651","9.66","192","4.6%","","35","","44","","79","","112","",""
"Glimpse of Nature","G","R","5912","5.87","625","9.18","219","5.5%","","39","","57","","96","","119","",""
"Triumph of the Hordes","G","M","1905","4.02","272","","580","36.2%","50.0%","106","","158","","264","","313","",""
"Veil of Summer","G","R","5995","5.96","647","9.28","339","8.5%","","46","","77","","123","","215","",""
"Culling Ritual","BG","R","4631","4.67","546","7.04","920","26.8%","52.5%","152","","246","","398","","516","50.4%",""
"Deflecting Palm","WR","R","5181","5.13","606","7.69","698","18.1%","48.3%","118","","168","","286","","413","",""
"Fracture","WB","R","5367","5.66","572","8.64","493","13.7%","","97","","130","","227","","265","",""
"Magus of the Library","G","R","2010","4.39","309","","814","42.9%","49.3%","127","","206","","333","","475","",""
"Sylvan Library","G","M","1191","2.98","251","","999","63.8%","54.1%","190","","225","","415","","571","55.2%",""
"Adrix and Nev, Twincasters","UG","M","1405","3.48","262","","629","40.5%","48.5%","88","","181","","269","","349","",""
"Codie, Vociferous Codex","","R","2356","5.04","386","","735","30.2%","54.8%","132","","240","","372","","340","",""